UID          PID    PPID  C STIME TTY          TIME CMD
kali        1453    1194  0 15:04 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
colord      1459       1  0 15:04 ?        00:00:00 /usr/libexec/colord
kali        1465    1146  0 15:04 ?        00:00:00 /usr/libexec/dconf-service
kali        1577    1146  0 15:04 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1612       1  0 15:04 ?        00:00:00 /usr/libexec/udisks2/udisksd
kali        1634    1146  0 15:04 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
kali        1644    1146  0 15:04 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
kali        1651    1146  0 15:04 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
kali        1657    1146  0 15:04 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
kali        1673    1288  0 15:04 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
kali        1680    1146  0 15:04 ?        00:00:00 /usr/libexec/gvfsd-metadata
kali        1699    1146  0 15:04 ?        00:00:00 /usr/libexec/bluetooth/obexd
kali        1983    1146  0 15:05 ?        00:00:00 /usr/libexec/xdg-desktop-portal
kali        1988    1146  0 15:05 ?        00:00:00 /usr/libexec/xdg-document-portal
kali        1992    1146  0 15:05 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1999    1988  0 15:05 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
kali        2003    1146  0 15:05 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
kali        2651       1  0 15:05 ?        00:00:09 /usr/bin/qterminal
kali        2662    2651  0 15:05 pts/0    00:00:13 /usr/bin/zsh
root       10008       2  0 15:20 ?        00:00:00 [kworker/3:0]
root       16241       2  0 15:32 ?        00:00:04 [kworker/0:1-pm]
root       17114       2  0 15:34 ?        00:00:00 [kworker/1:0-rcu_par_gp]
root       21269       2  0 15:42 ?        00:00:00 [kworker/0:0-mm_percpu_wq]
root       25805       2  0 15:52 ?        00:00:00 [kworker/2:0-ata_sff]
kali       26933    1146  0 15:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd
root       28395       2  0 15:57 ?        00:00:00 [kworker/2:2-ata_sff]
root       28938       2  0 15:58 ?        00:00:00 [kworker/0:2-events]
kali       30512    2662 99 16:00 pts/0    00:00:00 ps -ef
